regional_id,name
23,TARUTUNG
23,SIATAS BARITA
23,PAHAE JULU
23,PAHAE JAE
23,PURBATUA
23,SIMANGUMBAN
23,PANGARIBUAN
23,GAROGA
23,SIPAHUTAR
23,SIBORONG-BORONG
23,PAGARAN
23,MUARA
24,BATANG ANGKOLA
24,SAYUR MATINGGI
24,ANGKOLA TIMUR
24,ANGKOLA SELATAN
24,ANGKOLA  BARAT
24,BATANG TORU
24,MARANCAR
24,MUARA BATANG TORU
24,SIPIROK
24,ARSE
24,SAIPAR DOLOK HOLE
24,AEK BILAH
25,IDANO GAWO
25,BAWOLATO
25,ULUGAWO
25,GIDO
25,MA U
25,SOMOLO - MOLO
25,HILIDUHO
25,HILI SERANGKAI
25,BOTOMUZOI
26,BOHOROK
26,SERAPIT
26,SALAPIAN
26,KUTAMBARU
26,SEI BINGAI
26,KUALA
26,SELESAI
26,BINJAI
26,STABAT
26,WAMPU
26,BATANG SERANGAN
26,SAWIT SEBERANG
26,PADANG TUALANG
26,HINAI
26,SECANGGANG
26,TANJUNG PURA
26,GEBANG
26,BABALAN
26,SEI LEPAN
26,BRANDAN BARAT
26,BESITANG
26,PANGKALAN SUSU
26,PEMATANG JAYA
27,MARDINGDING
27,LAUBALENG
27,TIGA BINANGA
27,JUHAR
27,MUNTE
27,KUTA BULUH
27,PAYUNG
27,TIGANDERKET
27,SIMPANG EMPAT
27,NAMAN TERAN
27,MERDEKA
27,KABANJAHE
27,BERASTAGI
27,TIGAPANAH
27,DOLAT RAYAT
27,MEREK
27,BARUSJAHE
28,GUNUNG MERIAH
28,SINEMBAH TANJUNG MUDA HULU
28,SIBOLANGIT
28,KUTALIMBARU
28,PANCUR BATU
28,NAMO RAMBE
28,BIRU-BIRU
28,SINEMBAH TANJUNG MUDA HILIR
28,BANGUN PURBA
28,GALANG
28,TANJUNG MORAWA
28,PATUMBAK
28,DELI TUA
28,SUNGGAL
28,HAMPARAN PERAK
28,LABUHAN DELI
28,PERCUT SEI TUAN
28,BATANG KUIS
28,PANTAI LABU
28,BERINGIN
28,LUBUK PAKAM
28,PAGAR MERBAU
29,SILIMAKUTA
29,PEMATANG SILIMAHUTA
29,PURBA
29,HARANGGAOL HORISON
29,DOLOK PARDAMEAN
29,SIDAMANIK
29,PEMATANG SIDAMANIK
29,GIRSANG SIPANGAN BOLON
29,TANAH JAWA
29,HATONDUHAN
29,DOLOK PANRIBUAN
29,JORLANG HATARAN
29,PANEI
29,PANOMBEAN PANEI
29,RAYA
29,DOLOK SILAU
29,SILAU KAHEAN
29,RAYA KAHEAN
29,TAPIAN DOLOK
29,DOLOK BATU NANGGAR
29,SIANTAR
29,GUNUNG MALELA
29,GUNUNG MALIGAS
29,HUTABAYU RAJA
29,JAWA MARAJA BAH JAMBI
29,PEMATANG BANDAR
29,BANDAR HULUAN
29,BANDAR
29,BANDAR MASILAM
29,BOSAR MALIGAS
29,UJUNG PADANG
30,BANDAR PASIR MANDOGE
30,BANDAR PULAU
30,AEK SONGSONGAN
30,RAHUNING
30,PULAU RAKYAT
30,AEK KUASAN
30,AEK LEDONG
30,SEI KEPAYANG
30,SEI KEPAYANG BARAT
30,SEI KEPAYANG TIMUR
30,TANJUNG BALAI
30,SIMPANG EMPAT
30,TELUK DALAM
30,AIR BATU
30,SEI DADAP
30,BUNTU PANE
30,TINGGI RAJA
30,SETIA JANJI
30,MERANTI
30,PULO BANDRING
30,RAWANG PANCA ARGA
30,AIR JOMAN
30,SILAU LAUT
30,KISARAN BARAT
30,KISARAN TIMUR
31,BILAH HULU
31,PANGKATAN
31,BILAH BARAT
31,BILAH HILIR
31,PANAI HULU
31,PANAI TENGAH
